text,label
и старательности полкового rjvfylbhf был,и старательности полкового командира был
"о котором старались умолчать tlbycndtyyj потому, что другая","о котором старались умолчать единственно потому, что другая"
"или пуля dfc не брала,","или пуля вас не брала,"
"друг друга, нестройною, но веселою b оживленною толпой побежали наши под гору за расстроенными французами.","друг друга, нестройною, но веселою и оживленною толпой побежали наши под гору за расстроенными французами."
берейторами в расшитых попонах красивые запасные царские лошади. как будто,берейторами в расшитых попонах красивые запасные царские лошади. как будто
"князем, которого он боялся. он не","князем, которого он боялся. он не"
был yfuhf;lty марией терезией большого,был награжден марией терезией большого
"вошел в комнату, слова магницкого опять заглушились смехом.","вошел в комнату, слова магницкого опять заглушились смехом."
"и угощениями для господ и дворовых, yt снимая очков, с сдерживаемой","и угощениями для господ и дворовых, не снимая очков, с сдерживаемой"
"бесценный друг, что брак, по-моему, есть божественное установление, которому нужно подчиняться. как бы","бесценный друг, что брак, по-моему, есть божественное установление, которому нужно подчиняться. как бы"
"мясо в его разломанной руке и плече. чтоб избавиться jn них, он закрыл глаза. он","мясо в его разломанной руке и плече. чтоб избавиться от них, он закрыл глаза. он"
с зеркалами и маленькими столиками. dj время балов,с зеркалами и маленькими столиками. во время балов
что vs насквозь видим. – ты живешь,что мы насквозь видим. – ты живешь
lj первой станции. до половины,до первой станции. до половины
"генерал в сюртуке, с повязанною xthysv платком головою и","генерал в сюртуке, с повязанною черным платком головою и"
"руку держись, уронишь так, – послышался","руку держись, уронишь так, – послышался"
"приехал! – не отвечая, сказала наташа. – нам так весело!","приехал! – не отвечая, сказала наташа. – нам так весело!"
"строящиеся укрепления. несколько батальонов солдат в одних рубахах, несмотря на","строящиеся укрепления. несколько батальонов солдат в одних рубахах, несмотря на"
на нее; но все еще ждал b искал кого-то.,на нее; но все еще ждал и искал кого-то.
"hfp навсегда решив в своем уме, что все, что совершалось перед ним нынешний","раз навсегда решив в своем уме, что все, что совершалось перед ним нынешний"
",skb счастливы, как я. брат недоверчиво покачал головой.","были счастливы, как я. брат недоверчиво покачал головой."
"него. – вы несчастливы, ujcelfhm мой, – продолжал","него. – вы несчастливы, государь мой, – продолжал"
"все то, что выражали и другие охотники своим tlbyjdhtvtyysv разговором. и визг этот был","все то, что выражали и другие охотники своим единовременным разговором. и визг этот был"
"человека, e которого хотят отнять","человека, у которого хотят отнять"
"мгновение незаметно для него самого в чувство презрения, ни","мгновение незаметно для него самого в чувство презрения, ни"
"крыльцо, держа шляпу под рукой и","крыльцо, держа шляпу под рукой и"
"цнаймской дороге, подумал, что это была вся fhvbz","цнаймской дороге, подумал, что это была вся армия"
"на элен. «ну, что ж, коли вы все знаете, –","на элен. «ну, что ж, коли вы все знаете, –"
"смущением при виде его. пьеру nfr естественно казалось, что все его любят, так","смущением при виде его. пьеру так естественно казалось, что все его любят, так"
марья дмитриевна малейшим усердием при движении плеч или округлении рук в поворотах,марья дмитриевна малейшим усердием при движении плеч или округлении рук в поворотах
"тем французским выговором, которым он говорил, когда хотел говорить презрительно, и, заметив","тем французским выговором, которым он говорил, когда хотел говорить презрительно, и, заметив"
"его, вдруг задремывал, выпуская салфетку, склонялся над тарелкой трясущейся","его, вдруг задремывал, выпуская салфетку, склонялся над тарелкой трясущейся"
"дверь, возвращалась к себе, и то садилась","дверь, возвращалась к себе, и то садилась"
"праздник бы отменили, – сказал князь, по привычке, rfr заведенные часы,","праздник бы отменили, – сказал князь, по привычке, как заведенные часы,"
"с чертежами геометрии. – ну, сударыня, – начал старик, пригнувшись близко","с чертежами геометрии. – ну, сударыня, – начал старик, пригнувшись близко"
